Name ;Location;Headcounts;Industry;Year Founded;Specialities ;Type;Website;
 RIGBY Capital;Nanterre, Hauts-de-Seine, Île-De-France, France, Nanterre, Europe;66;Financial Services;1998;;Partnership;rigbycapital.com;
 Oxiane;Boulogne-Billancourt, Hauts-de-Seine, Île-De-France, France, Boulogne-Billancourt, Europe;39;IT Services and IT Consulting;2000;;Partnership;oxiane.com;
 KERHIS;Châteaulin, Finistère, Bretagne, France, Châteaulin, Europe;133;Software Development;1986;;Partnership;kerhis.com;
 Air Liquide Santé France S.A.;Paris, Paris, Île-De-France, France, Europe;26;Software Development;;;;airliquide.com;
 OpenStudio;Clermont-Ferrand, Puy-de-Dôme, Auvergne-Rhône-Alpes, France, Clermont-Ferrand, Europe;100;Technology, Information and Internet;2005;;Privately Held;openstudio.fr;
 ALAIN AFFLELOU FRANCHISEUR;Paris, Paris, Île-De-France, France, Europe;40;Financial Services;;;;afflelou.com;
 Holy-Dis | Planning and Time Management;Colombes, Hauts-de-Seine, Île-De-France, France, Nanterre, Europe;85;Software Development;1988;;Privately Held;holydis.com;
 KHIPLUS;Paris, Paris, Île-De-France, France, Europe;35;Software Development;1985;;Partnership;khiplus.fr;
 TPo Partners;Boulogne-Billancourt, Hauts-de-Seine, Île-De-France, France, Boulogne-Billancourt, Europe;20;IT Services and IT Consulting;;;Privately Held;tpo-partners.com;
 IÉSEG Finance Paris;Hauts-de-Seine, Île-De-France, France, Nanterre, Europe;22;Financial Services;;;Nonprofit;ieseg.fr;
 LSE - Logiciels ERP BTP;St.-Maur-des-Fossés, Val-de-Marne, Île-De-France, France, Créteil, Europe;32;Software Development;1984;;Privately Held;lse.fr;
 PERFECTO GROUPE;Saint-Cloud, Hauts-de-Seine, Île-De-France, France, Boulogne-Billancourt, Europe;32;IT Services and IT Consulting;2014;;Self-Owned;perfecto.com;
 Sirom;Paris, Paris, Île-De-France, France, Europe;21;Software Development;;;Partnership;sirom.fr;
 Askware;Paris, Paris, Île-De-France, France, Europe;31;IT Services and IT Consulting;2022;;Privately Held;askware.com;
 Helis;Paris, Paris, Île-De-France, France, Europe;56;IT Services and IT Consulting;2004;;Privately Held;groupe-helis.com;
 SARITEL;Issy-les-Moulineaux, Hauts-de-Seine, Île-De-France, France, Boulogne-Billancourt, Europe;62;Software Development;;;;e-pro.fr;
 Decalog Software;Guilherand-Granges, Ardèche, Auvergne-Rhône-Alpes, France, Tournon-sur-Rhône, Europe;55;Software Development;1987;;Privately Held;decalog.net;
 Eudonet;Courbevoie, Hauts-de-Seine, Île-De-France, France, Nanterre, Europe;181;Software Development;2000;;Partnership;eudonet.com;
 EURO INFORMATIQUE;Bordeaux, Gironde, Nouvelle-Aquitaine, France, Bordeaux, Europe;21;Software Development;1989;;Privately Held;euro-informatique.net;
 oXya;Issy-les-Moulineaux, Hauts-de-Seine, Île-De-France, France, Boulogne-Billancourt, Europe;805;IT Services and IT Consulting;;;Privately Held;oxya.com;
 Laëtis;Arvieu, Aveyron, Occitanie, France, Rodez, Europe;24;Technology, Information and Internet;1998;;Privately Held;laetis.fr;
 METI;Larmor-Plage, Morbihan, Bretagne, France, Lorient, Europe;189;IT Services and IT Consulting;1982;;Privately Held;meti.fr;
